job_id,company_name,title_clean,location,job_posting_url,remote_allowed,combined_skills,combined_text
3905327716,Advance Auto Parts,Commercial Parts pro,"Plano, TX",https://www.linkedin.com/jobs/view/3905327716/?trk=jobs_biz_prem_srch,False,"Communication, Sales","Title: Commercial Parts pro Company: Advance Auto Parts Location: Plano, TX Skills: Communication, Sales"
3895539728,Rice Lake Weighing Systems,Assembly Tech I - Temp Summer Help,"Rice Lake, WI",https://www.linkedin.com/jobs/view/3895539728/?trk=jobs_biz_prem_srch,False,"Testing, Communication","Title: Assembly Tech I - Temp Summer Help Company: Rice Lake Weighing Systems Location: Rice Lake, WI Skills: Testing, Communication"
3888932988,Actalent,Controls Engineer,"Charlotte, NC",https://www.linkedin.com/jobs/view/3888932988/?trk=jobs_biz_prem_srch,False,"Testing, Communication","Title: Controls Engineer Company: Actalent Location: Charlotte, NC Skills: Testing, Communication"
3905257175,Haraka Headhunters,Patent Attorney,"Los Angeles, CA",https://www.linkedin.com/jobs/view/3905257175/?trk=jobs_biz_prem_srch,True,Marketing,"Title: Patent Attorney Company: Haraka Headhunters Location: Los Angeles, CA Skills: Marketing"
3905862560,EXTREVO,In-House Counsel,"Saratoga County, NY",https://www.linkedin.com/jobs/view/3905862560/?trk=jobs_biz_prem_srch,False,"Communication, Finance, Hr","Title: In-House Counsel Company: EXTREVO Location: Saratoga County, NY Skills: Communication, Finance, Hr"
3899528192,Emergent Professional Resources L.P. (EPR),.NET Developer,"Houston, TX",https://www.linkedin.com/jobs/view/3899528192/?trk=jobs_biz_prem_srch,False,"Javascript, Typescript, React, Angular, Vue, Sql, Aws, Cloud, Testing","Title: .NET Developer Company: Emergent Professional Resources L.P. (EPR) Location: Houston, TX Skills: Javascript, Typescript, React, Angular, Vue, Sql, Aws, Cloud, Testing"
3901960007,Regions Bank,Ascentium Credit Analyst,"Houston, Texas, United States",https://www.linkedin.com/jobs/view/3901960007/?trk=jobs_biz_prem_srch,False,"Communication, Marketing, Sales, Finance","Title: Ascentium Credit Analyst Company: Regions Bank Location: Houston, Texas, United States Skills: Communication, Marketing, Sales, Finance"
3902741787,Continental,Shop Floor Trainer - Days,"New Braunfels, TX",https://www.linkedin.com/jobs/view/3902741787/?trk=jobs_biz_prem_srch,False,"Communication, Leadership, Sales, Recruiting","Title: Shop Floor Trainer - Days Company: Continental Location: New Braunfels, TX Skills: Communication, Leadership, Sales, Recruiting"
3904419781,UNC Health,Patient Navigator Bariatrics,"Raleigh, NC",https://www.linkedin.com/jobs/view/3904419781/?trk=jobs_biz_prem_srch,False,"Testing, Communication","Title: Patient Navigator Bariatrics Company: UNC Health Location: Raleigh, NC Skills: Testing, Communication"
3904725475,MultiCare Health System,CNA Resource/Float Pool,"Tacoma, WA",https://www.linkedin.com/jobs/view/3904725475/?trk=jobs_biz_prem_srch,False,"Leadership, Collaboration","Title: CNA Resource/Float Pool Company: MultiCare Health System Location: Tacoma, WA Skills: Leadership, Collaboration"
3902360171,CBase Inc,"JAVA Fullstack Developer-AWS @ Chicago, IL - 6 Months with EXT - Hybrid Role ONLY LOCAL PROFILES","Chicago, IL",https://www.linkedin.com/jobs/view/3902360171/?trk=jobs_biz_prem_srch,False,"Python, Java, Angular, Node, Express, Sql, Nosql, Dynamodb, Aws, Docker, Cloud, Serverless, Etl, Git, Svn, Agile, Communication","Title: JAVA Fullstack Developer-AWS @ Chicago, IL - 6 Months with EXT - Hybrid Role ONLY LOCAL PROFILES Company: CBase Inc Location: Chicago, IL Skills: Python, Java, Angular, Node, Express, Sql, Nosql, Dynamodb, Aws, Docker, Cloud, Serverless, Etl, Git, Svn, Agile, Communication"
3895490603,Nublicity Inc,Junior Network Administrator,"Jupiter, FL",https://www.linkedin.com/jobs/view/3895490603/?trk=jobs_biz_prem_srch,False,Communication,"Title: Junior Network Administrator Company: Nublicity Inc Location: Jupiter, FL Skills: Communication"
3902926907,"Millennium Recruiting, Inc.",OFFICE EXPANSION- ENTRY LEVEL PROFESSIONALS WANTED,"San Jose, CA",https://www.linkedin.com/jobs/view/3902926907/?trk=jobs_biz_prem_srch,False,"Communication, Leadership, Marketing, Sales","Title: OFFICE EXPANSION- ENTRY LEVEL PROFESSIONALS WANTED Company: Millennium Recruiting, Inc. Location: San Jose, CA Skills: Communication, Leadership, Marketing, Sales"
3901933151,MAU Workforce Solutions,Dispatcher,"Middletown, PA",https://www.linkedin.com/jobs/view/3901933151/?trk=jobs_biz_prem_srch,False,"Communication, Recruiting","Title: Dispatcher Company: MAU Workforce Solutions Location: Middletown, PA Skills: Communication, Recruiting"
3904913500,TowFLEXX,Equipment Technician,"New Castle, DE",https://www.linkedin.com/jobs/view/3904913500/?trk=jobs_biz_prem_srch,False,Collaboration,"Title: Equipment Technician Company: TowFLEXX Location: New Castle, DE Skills: Collaboration"
3901348097,Storm4,Project Engineer,San Francisco Bay Area,https://www.linkedin.com/jobs/view/3901348097/?trk=jobs_biz_prem_srch,False,"Go, Testing, Creativity, Collaboration","Title: Project Engineer Company: Storm4 Location: San Francisco Bay Area Skills: Go, Testing, Creativity, Collaboration"
3905286457,Clark Davis Associates,Sr Structural Engineer,"Flanders, NJ",https://www.linkedin.com/jobs/view/3905286457/?trk=jobs_biz_prem_srch,False,Sales,"Title: Sr Structural Engineer Company: Clark Davis Associates Location: Flanders, NJ Skills: Sales"
3900950265,Razorfish,Media Supervisor (Paid Social),"New York, NY",https://www.linkedin.com/jobs/view/3900950265/?trk=jobs_biz_prem_srch,False,"Leadership, Collaboration, Marketing","Title: Media Supervisor (Paid Social) Company: Razorfish Location: New York, NY Skills: Leadership, Collaboration, Marketing"
3900075286,"Q1 Technologies, Inc.",Epicor Developer,"Irving, TX",https://www.linkedin.com/jobs/view/3900075286/?trk=jobs_biz_prem_srch,False,Sales,"Title: Epicor Developer Company: Q1 Technologies, Inc. Location: Irving, TX Skills: Sales"
3902862569,GQR,Workday Independent Consultant,United States,https://www.linkedin.com/jobs/view/3902862569/?trk=jobs_biz_prem_srch,True,"Go, Cloud, Hr","Title: Workday Independent Consultant Company: GQR Location: United States Skills: Go, Cloud, Hr"
3900082183,The Walsh Group - Walsh Construction & Archer Western,Construction Project Superintendent (Structures),"Miami, FL",https://www.linkedin.com/jobs/view/3900082183/?trk=jobs_biz_prem_srch,False,Hr,"Title: Construction Project Superintendent (Structures) Company: The Walsh Group - Walsh Construction & Archer Western Location: Miami, FL Skills: Hr"
3901671556,Cummins Inc.,Field Service Power Generation Technician,"Glen Burnie, MD",https://www.linkedin.com/jobs/view/3901671556/?trk=jobs_biz_prem_srch,False,"Less, Sales","Title: Field Service Power Generation Technician Company: Cummins Inc. Location: Glen Burnie, MD Skills: Less, Sales"
3902923167,The Energy Authority,Real-Time Trader,"Bellevue, WA",https://www.linkedin.com/jobs/view/3902923167/?trk=jobs_biz_prem_srch,False,"Communication, Teamwork, Collaboration, Sales","Title: Real-Time Trader Company: The Energy Authority Location: Bellevue, WA Skills: Communication, Teamwork, Collaboration, Sales"
3903426725,DP Professionals (DPP),Data Analyst I (Onsite),"Columbia, SC",https://www.linkedin.com/jobs/view/3903426725/?trk=jobs_biz_prem_srch,False,"Lean, Communication","Title: Data Analyst I (Onsite) Company: DP Professionals (DPP) Location: Columbia, SC Skills: Lean, Communication"
3906230217,Salesforce,"CMO, Heroku","Seattle, WA",https://www.linkedin.com/jobs/view/3906230217/?trk=jobs_biz_prem_srch,False,"Go, Cloud, Ai, Agile, Leadership, Creativity, Collaboration, Marketing","Title: CMO, Heroku Company: Salesforce Location: Seattle, WA Skills: Go, Cloud, Ai, Agile, Leadership, Creativity, Collaboration, Marketing"
3905308419,Parker Hannifin,Clayton Operator - 3rd Shift,"Lynchburg, VA",https://www.linkedin.com/jobs/view/3905308419/?trk=jobs_biz_prem_srch,False,"Go, Testing, Lean, Communication","Title: Clayton Operator - 3rd Shift Company: Parker Hannifin Location: Lynchburg, VA Skills: Go, Testing, Lean, Communication"
3887881599,Fred Hutch,Research Technician I/II,"Seattle, WA",https://www.linkedin.com/jobs/view/3887881599/?trk=jobs_biz_prem_srch,False,"Leadership, Collaboration, Recruiting","Title: Research Technician I/II Company: Fred Hutch Location: Seattle, WA Skills: Leadership, Collaboration, Recruiting"
3901345889,"American Unit, Inc",Full Stack . Net Developer,"Austin, TX",https://www.linkedin.com/jobs/view/3901345889/?trk=jobs_biz_prem_srch,True,"Javascript, Mvc, Devops, Kafka, Ui, Testing, Agile","Title: Full Stack . Net Developer Company: American Unit, Inc Location: Austin, TX Skills: Javascript, Mvc, Devops, Kafka, Ui, Testing, Agile"
3902834652,Aequor Information Technologies Pvt. Ltd.,Product Engineer I,"Houston, TX",https://www.linkedin.com/jobs/view/3902834652/?trk=jobs_biz_prem_srch,False,Leadership,"Title: Product Engineer I Company: Aequor Information Technologies Pvt. Ltd. Location: Houston, TX Skills: Leadership"
3894627666,USAA,Data Scientist Lead – Telematics (Remote),"Houston, TX",https://www.linkedin.com/jobs/view/3894627666/?trk=jobs_biz_prem_srch,True,"Python, Sql, Nosql, Aws, Cloud, Ai, Collaboration, Finance","Title: Data Scientist Lead – Telematics (Remote) Company: USAA Location: Houston, TX Skills: Python, Sql, Nosql, Aws, Cloud, Ai, Collaboration, Finance"
3905289182,Stone Management,Associate,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/3905289182/?trk=jobs_biz_prem_srch,False,Finance,Title: Associate Company: Stone Management Location: New York City Metropolitan Area Skills: Finance
3905328910,CoreLogic,Sr. Professional- Sourcing & Contract Management,"Dallas, TX",https://www.linkedin.com/jobs/view/3905328910/?trk=jobs_biz_prem_srch,True,"Communication, Leadership, Creativity, Finance","Title: Sr. Professional- Sourcing & Contract Management Company: CoreLogic Location: Dallas, TX Skills: Communication, Leadership, Creativity, Finance"
3902354739,American Recruiting & Consulting Group,Web Landscape Strategist,United States,https://www.linkedin.com/jobs/view/3902354739/?trk=jobs_biz_prem_srch,True,"Marketing, Recruiting","Title: Web Landscape Strategist Company: American Recruiting & Consulting Group Location: United States Skills: Marketing, Recruiting"
3901389830,Hopebridge,Speech Language Pathologist,"Surprise, AZ",https://www.linkedin.com/jobs/view/3901389830/?trk=jobs_biz_prem_srch,False,"Swift, Communication","Title: Speech Language Pathologist Company: Hopebridge Location: Surprise, AZ Skills: Swift, Communication"
